Subject	TrialProc	Trial	Condition	RT	Accuracy	Response	TargetArrowDirection	SessionDate	SessionTime
12000	practice	1	neutral	711	1	right	right	02-18-2015	13:05:32
12000	practice	2	congruent	647	1	right	right	02-18-2015	13:05:32
12000	practice	3	neutral	573	1	left	left	02-18-2015	13:05:32
12000	practice	4	incongruent	808	1	right	right	02-18-2015	13:05:32
12000	practice	5	congruent	557	1	left	left	02-18-2015	13:05:32
12000	practice	6	incongruent	653	1	left	left	02-18-2015	13:05:32
12000	real	1	neutral	600	1	left	left	02-18-2015	13:05:32
12000	real	2	incongruent	576	1	right	right	02-18-2015	13:05:32
12000	real	3	neutral	581	1	right	right	02-18-2015	13:05:32
12000	real	4	congruent	577	1	left	left	02-18-2015	13:05:32
12000	real	5	incongruent	638	1	left	left	02-18-2015	13:05:32
12000	real	6	neutral	522	1	left	left	02-18-2015	13:05:32
12000	real	7	incongruent	564	1	left	left	02-18-2015	13:05:32
12000	real	8	congruent	473	1	left	left	02-18-2015	13:05:32
12000	real	9	neutral	610	1	right	right	02-18-2015	13:05:32
12000	real	10	incongruent	555	1	left	left	02-18-2015	13:05:32
12000	real	11	neutral	471	1	right	right	02-18-2015	13:05:32
12000	real	12	congruent	997	1	right	right	02-18-2015	13:05:32
12000	real	13	incongruent	480	1	left	left	02-18-2015	13:05:32
12000	real	14	neutral	406	1	left	left	02-18-2015	13:05:32
12000	real	15	incongruent	608	1	right	right	02-18-2015	13:05:32
12000	real	16	congruent	605	1	right	right	02-18-2015	13:05:32
12000	real	17	neutral	424	1	right	right	02-18-2015	13:05:32
12000	real	18	neutral	422	1	right	right	02-18-2015	13:05:32
12000	real	19	congruent	374	1	right	right	02-18-2015	13:05:32
12000	real	20	neutral	524	1	right	right	02-18-2015	13:05:32
12000	real	21	congruent	451	1	right	right	02-18-2015	13:05:32
12000	real	22	incongruent	497	1	left	left	02-18-2015	13:05:32
12000	real	23	congruent	860	1	right	right	02-18-2015	13:05:32
12000	real	24	congruent	446	1	left	left	02-18-2015	13:05:32
12000	real	25	neutral	526	1	left	left	02-18-2015	13:05:32
12000	real	26	incongruent	499	1	left	left	02-18-2015	13:05:32
12000	real	27	congruent	427	1	right	right	02-18-2015	13:05:32
12000	real	28	congruent	420	1	right	right	02-18-2015	13:05:32
12000	real	29	neutral	528	1	right	right	02-18-2015	13:05:32
12000	real	30	incongruent	545	1	left	left	02-18-2015	13:05:32
12000	real	31	incongruent	503	1	left	left	02-18-2015	13:05:32
12000	real	32	neutral	1195	1	left	left	02-18-2015	13:05:32
12000	real	33	neutral	378	1	left	left	02-18-2015	13:05:32
12000	real	34	neutral	454	1	right	right	02-18-2015	13:05:32
12000	real	35	neutral	489	1	right	right	02-18-2015	13:05:32
12000	real	36	neutral	612	1	left	left	02-18-2015	13:05:32
12000	real	37	congruent	365	1	left	left	02-18-2015	13:05:32
12000	real	38	neutral	522	1	left	left	02-18-2015	13:05:32
12000	real	39	neutral	383	1	left	left	02-18-2015	13:05:32
12000	real	40	incongruent	583	1	right	right	02-18-2015	13:05:32
12000	real	41	incongruent	469	1	left	left	02-18-2015	13:05:32
12000	real	42	neutral	433	1	right	right	02-18-2015	13:05:32
12000	real	43	congruent	446	1	right	right	02-18-2015	13:05:32
12000	real	44	congruent	404	1	right	right	02-18-2015	13:05:32
12000	real	45	congruent	418	1	left	left	02-18-2015	13:05:32
12000	real	46	congruent	464	1	left	left	02-18-2015	13:05:32
12000	real	47	incongruent	523	1	left	left	02-18-2015	13:05:32
12000	real	48	congruent	425	1	right	right	02-18-2015	13:05:32
12000	real	49	congruent	479	1	left	left	02-18-2015	13:05:32
12000	real	50	congruent	536	1	right	right	02-18-2015	13:05:32
12000	real	51	incongruent	591	1	right	right	02-18-2015	13:05:32
12000	real	52	incongruent	564	1	right	right	02-18-2015	13:05:32
12000	real	53	incongruent	533	1	right	right	02-18-2015	13:05:32
12000	real	54	neutral	440	1	right	right	02-18-2015	13:05:32
12000	real	55	congruent	574	1	left	left	02-18-2015	13:05:32
12000	real	56	congruent	437	1	right	right	02-18-2015	13:05:32
12000	real	57	congruent	469	1	left	left	02-18-2015	13:05:32
12000	real	58	incongruent	496	1	left	left	02-18-2015	13:05:32
12000	real	59	incongruent	553	1	left	left	02-18-2015	13:05:32
12000	real	60	neutral	467	1	left	left	02-18-2015	13:05:32
12000	real	61	neutral	459	1	right	right	02-18-2015	13:05:32
12000	real	62	congruent	428	1	left	left	02-18-2015	13:05:32
12000	real	63	incongruent	590	1	right	right	02-18-2015	13:05:32
12000	real	64	congruent	493	1	left	left	02-18-2015	13:05:32
12000	real	65	congruent	424	1	left	left	02-18-2015	13:05:32
12000	real	66	incongruent	495	1	left	left	02-18-2015	13:05:32
12000	real	67	congruent	403	1	right	right	02-18-2015	13:05:32
12000	real	68	neutral	761	1	left	left	02-18-2015	13:05:32
12000	real	69	neutral	404	1	left	left	02-18-2015	13:05:32
12000	real	70	neutral	407	1	right	right	02-18-2015	13:05:32
12000	real	71	incongruent	846	1	right	right	02-18-2015	13:05:32
12000	real	72	incongruent	543	1	right	right	02-18-2015	13:05:32
12000	real	73	neutral	438	1	left	left	02-18-2015	13:05:32
12000	real	74	neutral	410	1	left	left	02-18-2015	13:05:32
12000	real	75	neutral	425	1	right	right	02-18-2015	13:05:32
12000	real	76	incongruent	512	1	right	right	02-18-2015	13:05:32
12000	real	77	congruent	357	1	right	right	02-18-2015	13:05:32
12000	real	78	incongruent	498	1	left	left	02-18-2015	13:05:32
12000	real	79	congruent	438	1	left	left	02-18-2015	13:05:32
12000	real	80	congruent	459	1	left	left	02-18-2015	13:05:32
12000	real	81	incongruent	557	1	right	right	02-18-2015	13:05:32
12000	real	82	neutral	467	1	right	right	02-18-2015	13:05:32
12000	real	83	neutral	493	1	left	left	02-18-2015	13:05:32
12000	real	84	incongruent	546	1	right	right	02-18-2015	13:05:32
12000	real	85	incongruent	882	1	left	left	02-18-2015	13:05:32
12000	real	86	incongruent	615	1	left	left	02-18-2015	13:05:32
12000	real	87	incongruent	789	1	right	right	02-18-2015	13:05:32
12000	real	88	incongruent	529	1	right	right	02-18-2015	13:05:32
12000	real	89	congruent	552	1	right	right	02-18-2015	13:05:32
12000	real	90	neutral	448	1	left	left	02-18-2015	13:05:32
12000	real	91	congruent	492	1	left	left	02-18-2015	13:05:32
12000	real	92	congruent	471	1	left	left	02-18-2015	13:05:32
12000	real	93	congruent	498	1	right	right	02-18-2015	13:05:32
12000	real	94	neutral	525	1	right	right	02-18-2015	13:05:32
12000	real	95	incongruent	458	1	right	right	02-18-2015	13:05:32
12000	real	96	incongruent	471	1	right	right	02-18-2015	13:05:32
12000	real	1	neutral	443	1	right	right	02-18-2015	13:05:32
12000	real	2	congruent	372	1	right	right	02-18-2015	13:05:32
12000	real	3	incongruent	529	1	right	right	02-18-2015	13:05:32
12000	real	4	incongruent	464	1	right	right	02-18-2015	13:05:32
12000	real	5	neutral	500	1	left	left	02-18-2015	13:05:32
12000	real	6	congruent	463	1	left	left	02-18-2015	13:05:32
12000	real	7	congruent	773	1	left	left	02-18-2015	13:05:32
12000	real	8	neutral	531	1	right	right	02-18-2015	13:05:32
12000	real	9	incongruent	533	1	right	right	02-18-2015	13:05:32
12000	real	10	neutral	486	1	left	left	02-18-2015	13:05:32
12000	real	11	incongruent	492	1	right	right	02-18-2015	13:05:32
12000	real	12	incongruent	490	1	right	right	02-18-2015	13:05:32
