Subject	RAPM	LetterSets	NumberSeries
12000	16	20	NA
12002	13	18	NA
12006	15	19	13
12008	14	24	15
12010	16	21	14
12012	14	20	13
12013	16	19	9
12014	13	21	12
12015	13	18	12
12016	12	18	NA
12018	14	11	12
12021	16	17	6
12022	8	14	9
12023	6	25	10
12024	11	21	12
12025	12	18	11
12027	9	12	7
12028	12	18	11
12029	13	18	11
12030	16	14	11
12033	10	22	14
12034	5	8	8
12035	11	17	5
12038	4	15	7
12039	4	5	4
12040	3	2	4
12041	14	22	12
12043	11	16	7
12047	9	12	11
12048	3	16	6
12049	12	18	12
12050	5	11	5
12051	6	9	6
12052	13	15	8
12053	7	25	8
12057	12	21	9
12058	15	16	10
12059	10	15	6
12060	12	14	13
12061	7	11	4
12062	5	NA	9
12063	15	22	13
12064	14	21	14
12065	7	21	6
12068	5	15	8
12069	12	NA	13
12070	3	8	6
12071	11	20	13
12072	11	16	8
12076	17	24	11
12078	10	19	7
12080	17	22	14
12081	12	20	11
12083	9	18	8
12084	10	21	14
12087	14	20	13
12089	13	17	12
12092	14	19	12
12094	7	16	12
12095	14	24	13
12096	4	12	4
12097	16	18	13
12098	11	23	14
12101	9	14	10
12102	10	18	8
12103	8	9	6
12104	13	12	9
12105	10	13	4
12107	9	9	5
12109	6	7	10
12110	5	19	9
12112	13	13	10
12113	9	13	14
12115	6	10	4
12116	12	18	14
12117	9	21	8
12118	14	20	14
12121	4	8	6
12122	1	8	4
12123	10	17	10
12124	8	17	7
12125	9	20	14
12126	10	23	15
12127	8	13	10
12129	5	NA	5
12133	15	14	13
12134	10	15	9
12135	13	20	8
12136	9	13	6
12137	10	12	5
12138	9	9	8
12139	9	12	6
12140	9	14	6
12141	6	4	3
12142	6	17	7
12143	3	23	9
12144	10	5	8
12147	6	12	8
12148	11	12	5
12153	4	15	8
12154	6	18	8
12155	5	14	6
12160	3	10	7
12161	5	10	5
12162	9	17	8
12163	3	8	4
12166	10	17	6
12167	5	15	NA
12168	9	21	8
12170	4	12	4
12171	5	19	6
12172	4	5	3
12173	3	13	6
12174	3	17	3
12175	2	4	4
12176	12	24	8
12177	6	11	8
12178	5	9	1
12179	3	15	4
12180	12	19	8
12181	16	13	10
12183	3	9	7
12184	5	11	7
12186	13	18	11
12187	16	18	14
12195	8	7	6
12202	10	18	8
12203	11	16	13
12204	12	11	8
12207	12	20	10
12211	15	20	12
12216	2	16	4
12218	8	13	6
12220	15	23	12
12222	12	15	13
12223	5	9	7
12225	7	15	4
12227	6	10	5
12230	7	14	8
12232	2	10	NA
12235	14	21	12
12236	5	9	2
12237	6	5	5
12238	9	13	3
12239	5	3	9
12240	8	11	6
12241	5	14	5
12242	1	11	5
12243	8	12	1
12244	1	6	5
12245	6	24	13
12246	9	19	7
12247	7	8	6
12249	5	9	8
12250	3	8	4
12251	4	12	6
12253	10	16	9
12255	10	22	8
12256	12	19	9
12257	11	16	7
12258	11	21	10
12259	4	6	4
12260	9	15	6
12261	9	6	10
12262	4	15	6
12263	10	10	3
12264	12	15	10
12266	5	11	9
12269	3	11	5
12270	11	14	9
12271	10	17	12
12272	6	14	6
12274	4	12	5
12275	8	15	11
12280	3	15	3
12282	10	14	7
12284	13	17	11
12285	6	10	5
12287	10	13	7
12288	8	13	7
12290	6	12	11
12291	9	23	13
12292	7	13	7
12293	11	14	10
12294	7	10	6
12295	7	9	5
12296	9	14	5
12298	9	15	10
12300	11	13	7
12301	5	11	6
12056	NA	18	5
12086	NA	17	14
12119	NA	13	0
12120	NA	21	14
12149	NA	14	4
12150	NA	19	2
12194	NA	15	9
12252	NA	15	6
12254	NA	13	6
12267	NA	7	5
