Subject	OSpan.Absolute	OSpan.Partial	OSpan.Partial_Block1	OSpan.Partial_Block2	OSpan.MathACC	OSpan.MathDuration	SessionDate	SessionTime	SymSpan.Absolute	SymSpan.Partial	SymSpan.Partial_Block1	SymSpan.Partial_Block2	SymSpan.SymmetryACC	SymSpan.SymmetryDuration	RotSpan.Absolute	RotSpan.Partial	RotSpan.Partial_Block1	RotSpan.Partial_Block2	RotSpan.RotationACC	RotSpan.RotationDuration
12000	74	80	41	39	1	NA	02-18-2015	12:17:38	20	34	14	20	1	NA	14	31	17	14	1	NA
12002	51	71	39	32	0.9390243902439024	NA	02-18-2015	14:55:22	18	33	13	20	0.9814814814814815	NA	14	22	10	12	1	NA
12006	44	66	29	37	0.9512195121951219	NA	02-20-2015	09:07:24	14	34	12	22	1	NA	24	30	13	17	0.6419753086419753	NA
12008	67	78	37	41	1	NA	02-20-2015	12:03:51	16	19	9	10	0.9629629629629629	NA	5	21	15	6	0.9814814814814815	NA
12010	12	33	8	25	0.9390243902439024	NA	02-20-2015	13:12:26	23	31	21	10	0.9814814814814815	NA	8	18	11	7	0.9629629629629629	NA
12012	39	71	34	37	1	NA	02-20-2015	14:22:00	14	31	18	13	1	NA	8	25	14	11	0.9444444444444444	NA
12013	51	68	38	30	0.9512195121951219	NA	02-20-2015	15:43:02	21	36	12	24	0.9629629629629629	NA	19	31	12	19	0.8703703703703703	NA
12014	27	54	25	29	0.975609756097561	NA	02-23-2015	09:13:45	14	26	11	15	1	NA	8	21	8	13	1	NA
12015	32	56	23	33	0.9512195121951219	NA	02-23-2015	12:11:53	15	28	15	13	0.9814814814814815	NA	NA	NA	NA	NA	NA	NA
12016	18	33	16	17	0.9146341463414634	NA	02-23-2015	14:04:00	8	17	10	7	0.9074074074074074	NA	8	19	10	9	0.9074074074074074	NA
12018	41	69	38	31	0.9634146341463414	NA	02-23-2015	16:12:42	23	39	16	23	0.9629629629629629	NA	23	36	19	17	0.9259259259259259	NA
12021	59	73	35	38	0.9634146341463414	NA	02-24-2015	15:03:14	20	33	20	13	0.9444444444444444	NA	29	42	20	22	0.9814814814814815	NA
12022	25	42	22	20	0.975609756097561	NA	02-26-2015	12:04:02	12	16	6	10	0.8703703703703703	NA	18	31	17	14	0.9814814814814815	NA
12023	16	53	25	28	0.9024390243902439	NA	02-26-2015	13:09:55	19	31	15	16	0.9074074074074074	NA	7	19	12	7	0.9074074074074074	NA
12024	36	58	31	27	0.926829268292683	NA	02-26-2015	15:00:43	26	37	21	16	1	NA	11	33	20	13	1	NA
12025	3	26	13	13	0.975609756097561	NA	02-26-2015	15:46:34	13	28	16	12	0.9814814814814815	NA	14	25	12	13	0.9629629629629629	NA
12027	15	42	19	23	0.8902439024390244	NA	02-27-2015	12:17:57	2	15	7	8	0.9074074074074074	NA	11	15	9	6	0.9259259259259259	NA
12028	56	74	35	39	0.975609756097561	NA	02-27-2015	13:14:30	14	25	15	10	0.6111111111111112	NA	14	22	13	9	0.9074074074074074	NA
12029	31	62	32	30	0.9512195121951219	NA	02-27-2015	14:08:11	10	30	15	15	1	NA	17	40	21	19	1	NA
12030	37	61	29	32	0.9634146341463414	NA	02-27-2015	14:15:57	26	40	17	23	1	NA	14	34	20	14	1	NA
12033	82	82	41	41	0.9878048780487805	NA	02-27-2015	16:17:58	15	29	12	17	0.9814814814814815	NA	11	30	14	16	0.9629629629629629	NA
12034	66	76	35	41	0.9878048780487805	NA	03-02-2015	10:20:44	2	6	6	0	0.8333333333333334	NA	0	8	7	1	0.6666666666666666	NA
12035	37	69	34	35	1	NA	03-02-2015	10:50:14	2	16	7	9	0.9629629629629629	NA	7	21	11	10	0.9444444444444444	NA
12038	39	59	24	35	0.975609756097561	NA	03-02-2015	13:04:54	12	29	18	11	0.9444444444444444	NA	11	20	9	11	0.8888888888888888	NA
12039	46	63	24	39	0.8048780487804879	NA	03-02-2015	13:05:11	2	10	0	10	0.4444444444444444	NA	NA	NA	NA	NA	NA	NA
12040	0	16	10	6	0.7317073170731707	NA	03-02-2015	13:06:54	0	7	3	4	0.5370370370370371	NA	NA	NA	NA	NA	NA	NA
12041	69	78	38	40	0.975609756097561	NA	03-02-2015	14:04:17	29	40	16	24	1	NA	9	21	11	10	0.9629629629629629	NA
12043	58	70	38	32	0.9634146341463414	NA	03-02-2015	13:58:21	25	35	14	21	0.9444444444444444	NA	19	30	19	11	1	NA
12047	32	48	21	27	0.9634146341463414	NA	03-02-2015	16:11:55	10	21	10	11	0.8888888888888888	NA	10	20	11	9	0.8888888888888888	NA
12048	30	45	19	26	0.9634146341463414	NA	03-03-2015	08:59:14	3	19	10	9	0.9074074074074074	NA	4	12	4	8	0.7407407407407407	NA
12049	45	64	30	34	0.9634146341463414	NA	03-03-2015	09:02:48	26	36	17	19	1	NA	28	39	17	22	0.9814814814814815	NA
